,Keyword,Campaign ID,Campaign,Ad Group ID,Ad Group,Impressions,Clicks,Conversions,Spend,CTR,Avg CPC,Conv Rate,CPA,Health Score,Status,Category,Recommended Action,Priority,Total Spend,Total Conversions,Total Clicks,Last Updated
82,brujeria negra,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,6,1,0,10441,16.67,10441,0,0,,,,,,,,,
83,brujeria online,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,4,1,0,9660.7,25,9660.7,0,0,,,,,,,,,
87,brujeria para enamorar una mujer,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,2,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808905+00:00
88,brujeria para enamorar una mujer,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,2,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679491+00:00
89,brujeria para que se enamore de mi,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,2,0,0,0,0,0,0,0,,,,,,,,,
90,brujeria para que se enamore de mi,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,10,1,0,13605.14,10,13605.14,0,0,,,,,,,,,
91,brujeria para una persona,23009021436,Pagina 5 - Ruben,183136455497,amarres de amor-jun,2,0,0,0,0,0,0,0,,,,,,,,,
92,brujeria poderosa,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,6,0,0,0,0,0,0,0,,,,,,,,,
93,brujeria real,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,1,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808911+00:00
94,brujeria real,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,1,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679499+00:00
95,brujeria ritual,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,119,5,0,61239.68,4.2,12247.94,0,0,,,,,,,,,
98,brujeria y magia negra,23009021436,Pagina 5 - Ruben,183136454577,nuevo,8,2,0,22179,25,11089.5,0,0,,,,,,,,,
99,brujeria y santeria,12039330140,MAESTROS CAVIEDES vieja,125928945007,Santeros,6,0,0,0,0,0,0,0,,,,,,,,,
100,brujerias para el amor,23009021436,Pagina 5 - Ruben,183136454337,rituales de amor,15,0,0,0,0,0,0,0,,,,,,,,,
101,brujo haitiano,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,2,0,0,0,0,0,0,0,,,,,,,,,
104,brujo mayor,23009021436,Pagina 5 - Ruben,183136454577,nuevo,51,2,0,27644,3.92,13822,0,0,,,,,,,,,
105,brujo mayor de catemaco,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,52,3,0,39406,5.77,13135.33,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808918+00:00
